Type of wine,Name,Winery,Country,Region,Rating,NumberOfRatings,Year,Price,Rating Price Ratio,Rating category
Red,Constance Madiran 2015,Domaine Berthoumieu,France,Madiran,3.8,101,2015,9.5,0.39999999999999997,Medium
Red,Oak Cask Malbec 2019,Trapiche,Argentina,Mendoza,3.7,1010,2019,7.36,0.5027173913043478,Medium
Red,Amancaya Malbec - Cabernet Sauvignon 2017,Caro (Catena and Rothschild),Argentina,Mendoza,4.0,1010,2017,16.8,0.23809523809523808,Low
Red,Laccento Ruché di Castagnole Monferrato 2017,Montalbera,Italy,Ruchè,4.0,1012,2017,19.9,0.20100502512562815,Low
Red,San Leonardo 2011,San Leonardo,Italy,Vigneti delle Dolomiti,4.3,1012,2011,48.64,0.0884046052631579,Low
Red,Fausto Tannat 2015,Pizzato,Brazil,Serra Gaúcha,3.6,1012,2015,11.35,0.31718061674008813,Medium
Red,Pauillac (Grand Cru Classé) 2007,Château Pichon Baron,France,Pauillac,4.4,1014,2007,119.0,0.03697478991596639,Low
Red,Disciples 2016,The Crane Assembly,United States,Napa Valley,4.3,1014,2016,53.61,0.08020891624696885,Low
Red,Zinfandel 2015,Bonterra,United States,Mendocino County,3.6,1015,2015,16.75,0.21492537313432836,Low
Red,Margaux 2010,Château Labégorce,France,Margaux,4.0,1016,2010,40.95,0.09768009768009768,Low
Red,La Luna e i Falò Barbera d'Asti Superiore 2015,Vite Colte,Italy,Barbera d'Asti,3.8,1016,2015,11.49,0.33072236727589205,Medium
Red,Ribera del Duero 2015,Garmón,Spain,Ribera del Duero,4.2,1017,2015,38.8,0.10824742268041239,Low
Red,Les Jardins Rouge 2018,Saint Antonin,France,Faugères,3.8,102,2018,7.95,0.47798742138364775,Medium
Red,Nero d'Avola - Syrah 2018,Roccaperciata,Italy,Terre Siciliane,3.7,102,2018,4.75,0.7789473684210527,Excellent
Red,La Bienquerida 2013,Losada,Spain,Bierzo,4.1,102,2013,35.97,0.11398387545176536,Low
Red,Bonera 2018,Mandrarossa,Italy,Terre Siciliane,3.7,102,2018,9.5,0.38947368421052636,Medium
Red,Noi 4 Bolgheri 2016,Tenuta dei Sette Cieli,Italy,Bolgheri,4.0,102,2016,23.5,0.1702127659574468,Low
Red,Pinot Noir 2016,Clos Henri Vineyard,New Zealand,Marlborough,3.9,102,2016,27.78,0.14038876889848811,Low
Red,Saint-Émilion Grand Cru 2005,Château Grand Barrail Lamarzelle Figeac,France,Saint-Émilion Grand Cru,3.9,102,2005,39.95,0.09762202753441801,Low
Red,Gran Selección Tempranillo 2017,Viña San Juan,Spain,Castilla,3.4,102,2017,6.75,0.5037037037037037,Medium
Red,Syrah 2017,Glen Carlou,South Africa,Paarl,3.9,102,2017,18.25,0.21369863013698628,Low
Red,Zweigelt 2017,Judith Beck,Austria,Burgenland,3.9,102,2017,10.6,0.3679245283018868,Medium
Red,Saint-Émilion Grand Cru 2015,Château Vieux Clos St. Emilion,France,Saint-Émilion Grand Cru,4.1,102,2015,23.09,0.17756604590731917,Low
Red,Listán Negro 2017,Bermejo,Spain,Lanzarote,3.6,102,2017,17.95,0.20055710306406688,Low
Red,Viile Metamorfosis Merlot 2015,Vitis Metamorfosis,Romania,Dealu Mare,3.5,102,2015,7.5,0.4666666666666667,Medium
Red,Merlot - Cabernet Sauvignon - Petit Verdot 2014,Creation,South Africa,Walker Bay,3.9,102,2014,12.48,0.3125,Medium
Red,RWT Shiraz 2017,Penfolds,Australia,Barossa Valley,4.4,102,2017,229.0,0.01921397379912664,Low
Red,Fronton 2018,Château Bellevue La Forét,France,Fronton,3.5,102,2018,6.95,0.5035971223021583,Medium
Red,Costers Del Gravet Montsant 2013,Capçanes,Spain,Montsant,3.7,102,2013,13.95,0.26523297491039427,Low
Red,Merlot 2018,Cusumano,Italy,Terre Siciliane,3.4,102,2018,7.9,0.430379746835443,Medium
Red,Pinot Noir 2015,Paul Achs,Austria,Burgenland,3.7,102,2015,33.05,0.1119515885022693,Low
Red,Coume de l'Olla Rouge 2019,Matassa,France,Vin de France,4.1,102,2019,16.96,0.24174528301886788,Low
Red,Schwarzer 2017,Weingut Metzger,Germany,Pfalz,3.6,102,2017,13.15,0.2737642585551331,Low
Red,Haut-Médoc 2015,Château Beaumont,France,Haut-Médoc,3.8,1020,2015,17.36,0.21889400921658986,Low
Red,Bourgogne Pinot Noir (La Vignée) 2015,Bouchard Père & Fils,France,Bourgogne,3.6,1020,2015,17.59,0.20466173962478681,Low
Red,Pinot Noir 2017,Hamilton Russell Vineyards,South Africa,Hemel-en-Aarde Valley,4.2,1022,2017,49.09,0.08555713994703605,Low
Red,Zinfandel 2016,Geyser Peak,United States,California,3.7,1023,2016,10.9,0.3394495412844037,Medium
Red,Valpolicella Ripasso Classico Superiore 2017,Bolla,Italy,Valpolicella Ripasso Classico,3.7,1024,2017,15.5,0.23870967741935484,Low
Red,Rosso di Montalcino 2015,Castiglion del Bosco,Italy,Rosso di Montalcino,3.9,1025,2015,26.5,0.1471698113207547,Low
Red,Ripanço Private Selection Alentejano 2016,José Maria da Fonseca,Portugal,Alentejano,3.7,1026,2016,8.6,0.4302325581395349,Medium
